home,FT,visitor,Date,hgoal,vgoal
CSKA,0-0,Dinamo Tblisi,1975-08-10,0,0
SKA R/D,1-0,Dinamo Moskva,1975-08-10,1,0
Torpedo,4-1,Pahtakor,1975-08-11,4,1
Dinamo Kiev,1-0,Chernomorets,1975-08-12,1,0
Karpaty,1-0,Dnepr,1975-08-12,1,0
FC Ararat,2-1,Spartak,1975-08-13,2,1
Lokomotiv,0-1,Zarya,1975-08-13,0,1
Zenit,0-1,Shakhtyor,1975-09-17,0,1
Torpedo,3-2,CSKA,1975-08-14,3,2
Dinamo Moskva,2-2,Lokomotiv,1975-08-16,2,2
Dinamo Tblisi,1-1,SKA R/D,1975-08-17,1,1
Karpaty,3-1,Chernomorets,1975-08-17,3,1
Pahtakor,1-0,FC Ararat,1975-08-17,1,0
Spartak,2-2,Zenit,1975-08-17,2,2
Zarya,1-1,Dinamo Kiev,1975-09-02,1,1
Dnepr,1-1,Shakhtyor,1975-09-24,1,1
CSKA,1-1,Dinamo Moskva,1975-09-06,1,1
Dnepr,1-1,Dinamo Kiev,1975-09-06,1,1
FC Ararat,2-2,SKA R/D,1975-09-07,2,2
Shakhtyor,1-0,Chernomorets,1975-09-07,1,0
Spartak,0-3,Torpedo,1975-09-07,0,3
Zarya,1-1,Karpaty,1975-09-07,1,1
Zenit,1-0,Pahtakor,1975-09-07,1,0
Lokomotiv,1-1,Dinamo Tblisi,1975-09-08,1,1
Chernomorets,1-1,FC Ararat,1975-09-12,1,1
CSKA,1-3,Spartak,1975-09-13,1,3
Shakhtyor,0-1,Dinamo Kiev,1975-09-13,0,1
Zenit,2-0,Dinamo Tblisi,1975-09-13,2,0
Karpaty,3-0,SKA R/D,1975-09-14,3,0
Torpedo,1-1,Dinamo Moskva,1975-09-14,1,1
Zarya,2-0,Dnepr,1975-09-14,2,0
Lokomotiv,4-1,Pahtakor,1975-09-15,4,1
FC Ararat,4-2,Zenit,1975-09-21,4,2
Dinamo Kiev,3-2,Lokomotiv,1975-09-21,3,2
Dinamo Tblisi,2-3,Zarya,1975-09-21,2,3
Dnepr,2-0,CSKA,1975-09-21,2,0
Pahtakor,0-2,Shakhtyor,1975-09-21,0,2
SKA R/D,1-3,Torpedo,1975-09-21,1,3
Spartak,2-1,Karpaty,1975-09-21,2,1
Dinamo Moskva,1-0,Chernomorets,1975-09-22,1,0
FC Ararat,2-0,Torpedo,1975-09-26,2,0
CSKA,1-1,Dinamo Kiev,1975-09-26,1,1
Spartak,3-1,Chernomorets,1975-09-27,3,1
Dinamo Moskva,1-0,Karpaty,1975-09-28,1,0
Dnepr,2-0,Lokomotiv,1975-09-28,2,0
